pcode,curr_intensity,curr_events,prev_intensity,prev_events,intensity_change
ID1101,20.0,1,0.0,0,20.0
ID1102,160.0,2,0.0,0,160.0
ID1103,70.0,1,0.0,0,70.0
ID1105,100.0,1,0.0,0,100.0
ID1106,195.0,2,0.0,0,195.0
ID1107,80.0,2,0.0,0,80.0
ID1108,220.0,3,380.0,3,-160.0
ID1109,0.0,0,39.5,2,-39.5
ID1110,100.0,1,245.0,3,-145.0
ID1111,300.0,1,105.0,2,195.0
ID1112,300.0,3,0.0,0,300.0
ID1113,0.0,0,72.0,1,-72.0
ID1114,200.0,2,100.0,1,100.0
ID1118,111.0,2,100.0,1,11.0
ID1171,90.0,1,65.0,1,25.0
ID1174,0.0,0,65.0,1,-65.0
ID1204,355.0,4,0.0,0,355.0
ID1205,597.0,6,120.0,2,477.0
ID1206,267.5,4,200.0,2,67.5
ID1208,60.0,2,39.0,1,21.0
ID1209,338.0,4,85.0,2,253.0
ID1210,106.0,2,640.0,8,-534.0
ID1211,620.0,8,218.0,3,402.0
ID1212,899.0,8,0.0,0,899.0
ID1213,209.0,3,205.0,3,4.0
ID1217,100.0,1,100.0,1,0.0
ID1218,1252.5,24,1702.0,29,-449.5
ID1223,100.0,1,0.0,0,100.0
ID1271,120.0,2,52.0,1,68.0
ID1273,100.0,1,0.0,0,100.0
ID1275,123.0,3,20.0,1,103.0
ID1276,60.0,1,284.0,4,-224.0
ID1288,658.0,9,614.0,12,44.0
ID1302,60.0,1,0.0,0,60.0
ID1307,38.0,1,0.0,0,38.0
ID1404,3870.0,41,1586.5,19,2283.5
ID1406,660.0,7,120.0,1,540.0
ID1407,10.0,1,0.0,0,10.0
ID1471,160.0,2,0.0,0,160.0
ID1503,0.0,0,100.0,1,-100.0
ID1571,136.0,2,936.0,12,-800.0
ID1603,200.0,2,0.0,0,200.0
ID1606,120.0,2,0.0,0,120.0
ID1671,2309.0,23,1520.0,16,789.0
ID1672,100.0,1,0.0,0,100.0
ID1674,80.0,1,80.0,1,0.0
ID1702,0.0,0,9.5,1,-9.5
ID1771,390.0,3,100.0,1,290.0
ID1803,100.0,1,85.0,2,15.0
ID1805,79.0,2,0.0,0,79.0
ID1806,100.0,1,100.0,2,0.0
ID1901,1140.0,11,1036.5,13,103.5
ID1971,80.0,1,0.0,0,80.0
ID2101,0.0,0,100.0,1,-100.0
ID2172,100.0,1,0.0,0,100.0
ID3171,120.0,2,50.5,3,69.5
ID3172,460.0,6,238.0,6,222.0
ID3173,13920.0,187,15140.0,183,-1220.0
ID3174,585.0,8,136.0,2,449.0
ID3175,200.0,2,0.0,0,200.0
ID3201,453.0,7,99.5,3,353.5
ID3202,295.0,4,380.0,4,-85.0
ID3203,240.0,3,0.0,0,240.0
ID3204,132.0,2,300.0,3,-168.0
ID3205,92.0,2,26.0,1,66.0
ID3208,0.0,0,72.0,1,-72.0
ID3209,590.0,5,140.0,2,450.0
ID3210,100.0,1,120.0,2,-20.0
ID3211,510.0,7,390.0,5,120.0
ID3212,282.0,5,140.0,3,142.0
ID3213,40.0,1,97.5,2,-57.5
ID3215,100.0,1,0.0,0,100.0
ID3216,928.0,12,751.0,10,177.0
ID3217,349.0,8,778.5,11,-429.5
ID3218,0.0,0,100.0,1,-100.0
ID3272,0.0,0,20.0,1,-20.0
ID3273,3180.0,37,3715.0,43,-535.0
ID3274,130.0,2,425.0,5,-295.0
ID3275,175.5,5,118.0,4,57.5
ID3276,1032.0,12,550.0,5,482.0
ID3277,39.0,1,50.0,1,-11.0
ID3302,200.0,2,20.0,1,180.0
ID3303,0.0,0,95.0,2,-95.0
ID3305,160.0,2,0.0,0,160.0
ID3307,1075.0,13,904.0,14,171.0
ID3308,0.0,0,119.0,2,-119.0
ID3309,20.0,2,0.0,0,20.0
ID3310,100.0,1,38.0,1,62.0
ID3311,0.0,0,90.0,1,-90.0
ID3312,368.0,4,430.0,5,-62.0
ID3313,90.0,1,0.0,0,90.0
ID3314,290.0,3,0.0,0,290.0
ID3315,300.0,3,100.0,1,200.0
ID3317,469.0,6,0.0,0,469.0
ID3318,60.0,1,100.0,1,-40.0
ID3319,18.0,1,46.0,2,-28.0
ID3320,454.0,5,70.0,1,384.0
ID3321,417.0,6,300.0,4,117.0
ID3323,100.0,1,0.0,0,100.0
ID3324,316.0,5,290.0,3,26.0
ID3325,136.0,4,126.0,2,10.0
ID3326,480.0,5,100.0,1,380.0
ID3327,80.0,1,0.0,0,80.0
ID3328,243.0,5,0.0,0,243.0
ID3329,9.0,1,80.0,2,-71.0
ID3371,203.0,3,51.0,3,152.0
ID3372,100.0,1,90.0,1,10.0
ID3374,1595.0,20,2080.0,24,-485.0
ID3401,180.0,2,0.0,0,180.0
ID3402,0.0,0,39.0,1,-39.0
ID3471,1396.0,15,1553.0,22,-157.0
ID3501,162.5,3,13.0,1,149.5
ID3502,213.0,3,0.0,0,213.0
ID3503,60.0,1,100.0,1,-40.0
ID3505,0.0,0,458.0,7,-458.0
ID3507,210.5,3,0.0,0,210.5
ID3508,100.0,1,208.0,3,-108.0
ID3509,0.0,0,100.0,1,-100.0
ID3510,430.0,4,84.0,2,346.0
ID3511,0.0,0,120.0,1,-120.0
ID3512,100.0,1,0.0,0,100.0
ID3513,60.0,1,95.0,1,-35.0
ID3514,0.0,0,180.0,2,-180.0
ID3515,835.0,11,915.0,12,-80.0
ID3516,1115.0,13,814.0,12,301.0
ID3517,140.0,2,90.0,1,50.0
ID3518,185.0,3,95.0,1,90.0
ID3519,72.0,1,60.0,1,12.0
ID3520,75.0,1,100.0,1,-25.0
ID3524,1334.0,21,1852.5,33,-518.5
ID3525,336.5,6,200.0,3,136.5
ID3526,100.0,1,240.0,3,-140.0
ID3528,200.0,2,115.0,2,85.0
ID3572,0.0,0,39.0,1,-39.0
ID3573,90.0,1,180.0,2,-90.0
ID3574,0.0,0,30.0,1,-30.0
ID3575,300.0,3,100.0,1,200.0
ID3577,100.0,1,0.0,0,100.0
ID3578,3192.0,40,3103.5,40,88.5
ID3579,0.0,0,160.0,2,-160.0
ID3601,40.0,1,20.0,1,20.0
ID3602,135.0,2,570.0,8,-435.0
ID3603,110.0,2,0.0,0,110.0
ID3604,367.5,4,567.0,9,-199.5
ID3671,1476.0,18,1913.0,23,-437.0
ID3672,0.0,0,100.0,1,-100.0
ID3673,0.0,0,310.0,4,-310.0
ID3674,75.0,2,93.0,2,-18.0
ID5101,0.0,0,20.0,1,-20.0
ID5103,10.0,1,0.0,0,10.0
ID5105,0.0,0,76.0,1,-76.0
ID5106,0.0,0,100.0,1,-100.0
ID5171,80.0,2,599.5,10,-519.5
ID5202,318.0,3,40.0,1,278.0
ID5203,67.5,2,0.0,0,67.5
ID5206,300.0,3,0.0,0,300.0
ID5271,0.0,0,118.0,2,-118.0
ID5302,90.0,1,10.0,1,80.0
ID5304,100.0,1,0.0,0,100.0
ID5306,13.0,1,0.0,0,13.0
ID5310,90.0,1,0.0,0,90.0
ID5313,13.0,1,100.0,1,-87.0
ID5315,100.0,1,0.0,0,100.0
ID5320,80.0,1,0.0,0,80.0
ID6105,58.5,3,65.0,1,-6.5
ID6107,0.0,0,19.0,1,-19.0
ID6108,0.0,0,40.0,2,-40.0
ID6109,0.0,0,132.0,4,-132.0
ID6171,100.0,1,239.0,3,-139.0
ID6212,2210.0,27,1734.0,17,476.0
ID6308,100.0,1,0.0,0,100.0
ID6309,65.0,1,0.0,0,65.0
ID6371,0.0,0,80.0,1,-80.0
ID6403,18.0,1,0.0,0,18.0
ID6404,291.0,4,269.0,5,22.0
ID6411,0.0,0,194.0,3,-194.0
ID7101,60.0,1,0.0,0,60.0
ID7106,0.0,0,13.0,1,-13.0
ID7171,225.0,3,0.0,0,225.0
ID7172,0.0,0,75.0,1,-75.0
ID7174,50.0,1,0.0,0,50.0
ID7206,10.0,1,13.0,1,-3.0
ID7208,0.0,0,90.0,1,-90.0
ID7212,100.0,1,80.0,1,20.0
ID7301,0.0,0,154.0,2,-154.0
ID7305,100.0,1,0.0,0,100.0
ID7311,6908.0,92,7326.0,105,-418.0
ID7313,60.0,1,0.0,0,60.0
ID7314,234.0,4,1029.5,12,-795.5
ID7318,0.0,0,100.0,1,-100.0
ID7322,100.0,1,0.0,0,100.0
ID7325,90.0,1,0.0,0,90.0
ID7371,2507.0,31,2471.5,27,35.5
ID7405,290.0,3,245.0,4,45.0
ID7413,0.0,0,40.0,1,-40.0
ID7571,316.0,4,220.0,3,96.0
ID7601,40.0,3,0.0,0,40.0
ID7602,20.0,1,60.0,1,-40.0
ID8102,0.0,0,56.0,2,-56.0
ID8171,100.0,1,0.0,0,100.0
ID8201,0.0,0,329.5,5,-329.5
ID8205,0.0,0,100.0,1,-100.0
ID8206,140.0,2,190.0,4,-50.0
ID8271,0.0,0,60.0,1,-60.0
ID9103,0.0,0,266.0,5,-266.0
ID9109,385.0,5,0.0,0,385.0
ID9110,72.0,1,160.0,2,-88.0
ID9401,445.0,5,129.0,2,316.0
ID9402,180.0,2,315.5,5,-135.5
ID9409,20.0,1,0.0,0,20.0
ID9412,390.0,7,1080.0,14,-690.0
ID9415,0.0,0,100.0,1,-100.0
ID9417,100.0,1,100.0,1,0.0
ID9418,0.0,0,140.0,2,-140.0
UNKNOWN,1704.0,28,1627.0,22,77.0
